algoritmo,run,total_processes_completed,avg_waiting_time,avg_turnaround_time,cpu_utilization,throughput,deadline_misses
fcfs,1,10,30.3,36.9,100.0,0.15151515151515152,0
fcfs,2,10,6.8,9.9,100.0,0.3225806451612903,0
fcfs,3,10,39.4,46.8,100.0,0.13513513513513514,0
fcfs,4,10,13.3,16.2,93.75,0.3125,0
fcfs,5,10,15.0,19.1,95.34883720930233,0.23255813953488372,0
fcfs,6,10,17.1,21.6,100.0,0.2222222222222222,0
fcfs,7,10,15.2,20.3,96.15384615384616,0.19230769230769232,0
fcfs,8,10,14.3,20.0,100.0,0.17543859649122806,0
fcfs,9,10,9.4,12.9,89.47368421052632,0.2631578947368421,0
fcfs,10,10,21.1,26.2,100.0,0.19607843137254902,0
sjf,1,10,7.1,10.7,100.0,0.2777777777777778,0
sjf,2,10,12.0,18.2,100.0,0.16129032258064516,0
sjf,3,10,10.2,14.2,95.1219512195122,0.24390243902439024,0
sjf,4,10,4.6,9.0,95.83333333333334,0.20833333333333334,0
sjf,5,10,5.5,8.0,100.0,0.4,0
sjf,6,10,7.0,11.0,95.1219512195122,0.24390243902439024,0
sjf,7,10,14.7,20.3,100.0,0.17857142857142858,0
sjf,8,10,7.7,11.5,100.0,0.2631578947368421,0
sjf,9,10,10.5,15.1,100.0,0.21739130434782608,0
sjf,10,10,10.5,16.4,100.0,0.1694915254237288,0
priority_np,1,10,23.1,28.8,100.0,0.17543859649122806,0
priority_np,2,10,17.9,24.0,96.875,0.15625,0
priority_np,3,10,10.2,13.9,100.0,0.2702702702702703,0
priority_np,4,10,28.1,33.8,96.61016949152543,0.1694915254237288,0
priority_np,5,10,16.8,23.3,96.96969696969697,0.15151515151515152,0
priority_np,6,10,11.0,15.2,100.0,0.23809523809523808,0
priority_np,7,10,17.3,21.8,95.65217391304348,0.21739130434782608,0
priority_np,8,10,15.5,19.6,95.23809523809523,0.23809523809523808,0
priority_np,9,10,19.5,24.4,96.0,0.2,0
priority_np,10,10,6.4,9.199999999999999,93.10344827586206,0.3448275862068966,0
priority_preemp,1,10,13.8,17.4,100.0,0.2777777777777778,0
priority_preemp,2,10,4.6,7.5,96.66666666666667,0.3333333333333333,0
priority_preemp,3,10,5.6,8.0,96.0,0.4,0
priority_preemp,4,10,24.2,29.8,100.0,0.17857142857142858,0
priority_preemp,5,10,15.0,19.9,98.0,0.2,0
priority_preemp,6,10,7.2,11.1,92.85714285714286,0.23809523809523808,0
priority_preemp,7,10,11.0,15.1,97.61904761904762,0.23809523809523808,0
priority_preemp,8,10,17.5,22.8,100.0,0.18867924528301888,0
priority_preemp,9,10,12.4,15.8,100.0,0.29411764705882354,0
priority_preemp,10,10,38.6,46.5,97.53086419753086,0.12345679012345678,0
rr,1,10,19.0,23.4,100.0,0.22727272727272727,0
rr,2,10,11.7,15.4,94.73684210526316,0.2631578947368421,0
rr,3,10,7.8,12.1,95.74468085106383,0.2127659574468085,0
rr,4,10,16.4,22.3,100.0,0.1694915254237288,0
rr,5,10,17.9,22.2,100.0,0.23255813953488372,0
rr,6,10,16.2,22.4,93.93939393939394,0.15151515151515152,0
rr,7,10,12.3,15.7,94.5945945945946,0.2702702702702703,0
rr,8,10,18.2,23.2,100.0,0.2,0
rr,9,10,10.7,14.1,100.0,0.29411764705882354,0
rr,10,10,17.6,23.8,100.0,0.16129032258064516,0
rm,1,20,2.45,4.65,100.0,0.4,3
rm,2,10,2.9,7.3,100.0,0.2,1
rm,3,12,3.75,7.0,92.0,0.24,2
rm,4,40,1.1,2.1,92.0,0.8,1
rm,5,10,8.4,12.4,96.0,0.2,5
rm,6,29,1.9310344827586208,3.4827586206896552,96.0,0.58,2
rm,7,22,2.909090909090909,4.909090909090909,100.0,0.44,3
rm,8,27,1.1481481481481481,2.8518518518518516,100.0,0.54,0
rm,9,5,13.2,16.6,96.0,0.1,3
rm,10,13,1.0,4.076923076923077,96.0,0.26,1
edf,1,15,13.733333333333333,16.466666666666665,100.0,0.3,9
edf,2,10,14.1,18.5,100.0,0.2,8
edf,3,17,13.941176470588236,16.764705882352942,96.0,0.34,12
edf,4,13,14.0,17.692307692307693,100.0,0.26,7
edf,5,17,17.470588235294116,20.176470588235293,100.0,0.34,14
edf,6,16,18.4375,21.375,100.0,0.32,13
edf,7,12,13.5,17.333333333333332,100.0,0.24,10
edf,8,25,12.96,14.88,100.0,0.5,17
edf,9,10,15.5,19.7,100.0,0.2,8
edf,10,12,17.75,21.583333333333332,100.0,0.24,10
